id,company_id,rule_type,definition,date_created,last_updated
39,160,regex_and_mcc,"{""pattern"": ""CRICKET WIRELESS"", ""mcc_code"": 4814}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
40,351,regex_and_mcc,"{""pattern"": ""SKYPE"", ""mcc_code"": 4814}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
41,290,regex_and_mcc,"{""pattern"": ""SPRINT"", ""mcc_code"": 4814}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
42,580,regex_and_mcc,"{""pattern"": ""T MOBILE"", ""mcc_code"": 4814}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
43,582,regex_and_mcc,"{""pattern"": ""US CELLULAR"", ""mcc_code"": 4814}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
44,156,regex_and_mcc,"{""pattern"": ""VERIZON"", ""mcc_code"": 4814}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
45,584,regex_and_mcc,"{""pattern"": ""VODAFONE"", ""mcc_code"": 4814}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
46,68,regex_and_mcc,"{""pattern"": ""AMAZON"", ""mcc_code"": 4816}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
47,350,regex_and_mcc,"{""pattern"": ""MICROSOFT"", ""mcc_code"": 4816}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
48,451,regex_and_mcc,"{""pattern"": ""CABLE ONE"", ""mcc_code"": 4899}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
49,453,regex_and_mcc,"{""pattern"": ""CHARTER COMM"", ""mcc_code"": 4899}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
50,512,regex_and_mcc,"{""pattern"": ""DIRECTV"", ""mcc_code"": 4899}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
51,60,regex_and_mcc,"{""pattern"": ""HULU"", ""mcc_code"": 4899}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
52,510,regex_and_mcc,"{""pattern"": ""OPTIMUM"", ""mcc_code"": 4899}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
53,58,regex_and_mcc,"{""pattern"": ""TIME WARNER"", ""mcc_code"": 4899}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
54,55,regex_and_mcc,"{""pattern"": ""XFINITY"", ""mcc_code"": 4899}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
55,483,regex_and_mcc,"{""pattern"": ""DTE ENERGY"", ""mcc_code"": 4900}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
56,486,regex_and_mcc,"{""pattern"": ""WESTAR ENERGY"", ""mcc_code"": 4900}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
57,487,regex_and_mcc,"{""pattern"": ""XCEL ENERGY"", ""mcc_code"": 4900}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
